Cod. Promo��o    ;Ds. Promo��o       ;Ds. Referencia     ;Cod. Produto       ;Dt. Inicio        ;Dt. Final      ;Vl. Anterior   ;Vl. Promo��o
176;BLACK 2020;M3621014;51437;13/11/2020;31/12/2021;159;111,3
194;PROMOCAO VENTO DE MUDANCAS 30%;M3528026;49093;23/03/2021;30/06/2021;139;69,5
174;BLACK 2020;M3528061;50078;10/11/2020;31/12/2021;179;89,5
180;SALE 2021 CORRETA;M3623005;50924;26/12/2020;31/03/2021;79;39,5
180;SALE 2021 CORRETA;M3623005;50925;26/12/2020;31/03/2021;79;39,5
194;PROMOCAO VENTO DE MUDANCAS 30%;M3723004;53971;23/03/2021;30/06/2021;98;68,6
194;PROMOCAO VENTO DE MUDANCAS 30%;M3722004;54077;23/03/2021;30/06/2021;168;117,6
169;50% - JEANS + POESIA CONCRETA;M3422017;47169;19/05/2020;31/12/2021;339;169,5
180;SALE 2021 CORRETA;M3619030;51707;26/12/2020;31/03/2021;139;69,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3419006;45987;06/04/2020;31/12/2021;129;64,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3421018;46005;06/04/2020;31/12/2021;219;109,5
193;PROMOCAO MOLETOM 30;M3528014;48928;10/03/2021;30/06/2021;189;94,5
176;BLACK 2020;M3528057;49730;13/11/2020;31/12/2021;179;125,3
176;BLACK 2020;M3612005;1039437;13/11/2020;31/12/2021;99;59,4
194;PROMOCAO VENTO DE MUDANCAS 30%;M3719005;54101;23/03/2021;30/06/2021;139;97,3
170;5% COLECAO NOVA;M3429010;48178;21/05/2020;31/12/2021;149;141,55
174;BLACK 2020;M3528007;48749;10/11/2020;31/12/2021;159;79,5
180;SALE 2021 CORRETA;M3611012;51904;26/12/2020;31/03/2021;98;49
180;SALE 2021 CORRETA;M3611012;51910;26/12/2020;31/03/2021;98;49
180;SALE 2021 CORRETA;M3628010;50606;26/12/2020;31/03/2021;229;114,5
169;50% - JEANS + POESIA CONCRETA;M3429016;48125;19/05/2020;31/12/2021;139;69,5
169;50% - JEANS + POESIA CONCRETA;M3429016;48135;19/05/2020;31/12/2021;139;69,5
180;SALE 2021 CORRETA;M3618024;51750;26/12/2020;31/03/2021;173;86,5
180;SALE 2021 CORRETA;M3610020;52478;26/12/2020;31/03/2021;109;54,5
180;SALE 2021 CORRETA;M3610020;52481;26/12/2020;31/03/2021;109;54,5
180;SALE 2021 CORRETA;M3611017;52472;26/12/2020;31/03/2021;126;63
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3412025;46242;06/04/2020;31/12/2021;69;34,5
169;50% - JEANS + POESIA CONCRETA;M3415011;46257;19/05/2020;31/12/2021;179;89,5
169;50% - JEANS + POESIA CONCRETA;M3415011;46266;19/05/2020;31/12/2021;179;89,5
180;SALE 2021 CORRETA;M3420015;51455;26/12/2020;31/03/2021;219;109,5
180;SALE 2021 CORRETA;M3619014;51494;26/12/2020;31/03/2021;149;74,5
180;SALE 2021 CORRETA;M3611021;52808;26/12/2020;31/03/2021;115;57,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3424038;46774;06/04/2020;31/12/2021;99;49,5
180;SALE 2021 CORRETA;M3512015;50529;26/12/2020;31/03/2021;109;54,5
194;PROMOCAO VENTO DE MUDANCAS 30%;M3624058;53313;23/03/2021;30/06/2021;87;60,9
174;BLACK 2020;M3528007;48781;10/11/2020;31/12/2021;159;79,5
169;50% - JEANS + POESIA CONCRETA;M3412017;45950;19/05/2020;31/12/2021;119;59,5
169;50% - JEANS + POESIA CONCRETA;M3412017;45954;19/05/2020;31/12/2021;119;59,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3423023;46383;06/04/2020;31/12/2021;89;44,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3423020;46176;06/04/2020;31/12/2021;69;34,5
180;SALE 2021 CORRETA;M3420010;47290;26/12/2020;31/03/2021;159;79,5
193;PROMOCAO MOLETOM 30;M3528059;49807;10/03/2021;30/06/2021;229;114,5
194;PROMOCAO VENTO DE MUDANCAS 30%;M3528058;49810;23/03/2021;30/06/2021;99;69,3
194;PROMOCAO VENTO DE MUDANCAS 30%;M3528058;49818;23/03/2021;30/06/2021;99;69,3
180;SALE 2021 CORRETA;M3624048;52627;26/12/2020;31/03/2021;87;43,5
180;SALE 2021 CORRETA;M3610030;53255;26/12/2020;31/03/2021;109;54,5
176;BLACK 2020;M3529016;50959;13/11/2020;31/12/2021;119;71,4
194;PROMOCAO VENTO DE MUDANCAS 30%;M3723004;54153;23/03/2021;30/06/2021;98;68,6
169;50% - JEANS + POESIA CONCRETA;M3412028;46641;19/05/2020;31/12/2021;89;44,5
169;50% - JEANS + POESIA CONCRETA;M3412028;46650;19/05/2020;31/12/2021;89;44,5
193;PROMOCAO MOLETOM 30;M3528018;49131;10/03/2021;30/06/2021;199;99,5
194;PROMOCAO VENTO DE MUDANCAS 30%;M3528005;49136;23/03/2021;30/06/2021;139;69,5
168;50% COLECAO ESTOQUE;M2017001;10463;07/05/2020;31/12/2021;219,9;109,95
174;BLACK 2020;M3011010;23006;10/11/2020;31/12/2021;299;149,5
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3013010;23030;06/04/2020;31/12/2021;134,9;67,45
163;FLASH SALE ATACADO -CICLOS E NIRVANA 60%;M3013010;23068;06/04/2020;31/12/2021;134,9;67,45
174;BLACK 2020;M3013014;23114;10/11/2020;31/12/2021;159,9;79,95
174;BLACK 2020;M3021010;22927;10/11/2020;31/12/2021;599;299,5
168;50% COLECAO ESTOQUE;M2713056;26079;07/05/2020;31/12/2021;99,9;49,95
168;50% COLECAO ESTOQUE;M2713056;26080;07/05/2020;31/12/2021;99,9;49,95
